"","Movie.Name","Year","Season","Run.Time","Budget","Box.Office","Genre","MPAA.Rating","Critic.Score","Sequel"
"121","The Wedding Planner",2001,"Winter",104,80594861.660079,167743591.191417,"Comedy","PG-13",17,0
"122","Mrs Henderson Presents",2005,"Fall",103,32124935.9959037,44653661.0343062,"Comedy","R",75,0
"123","Joshua",2007,"Summer",106,907919125261.296,1089502950313.56,"Horror","R",61,0
"124","North Country",2005,"Fall",126,56218637.9928315,40477419.3548387,"Drama","R",69,0
"125","The Current War",2019,"Fall",107,36804849.4329292,15826085.2561596,"Biography","PG-13",32,0
"126","I, Robot",2004,"Summer",115,274010058.231869,586381524.616199,"Sci-Fi","PG-13",56,0
"127","Max Payne",2008,"Fall",100,50996284.2545286,125013748.258244,"Action","PG-13",16,0
"128","The Pacifier",2005,"Winter",95,89949820.7885305,319000614.439324,"Comedy","PG",21,0
"129","Never Back Down",2008,"Winter",115,29140733.8597306,60612726.4282397,"Action","PG-13",22,0
"130","Despicable Me 4",2024,"Summer",94,9.7e+07,9.72e+08,"Animation","PG",56,1
"131","Moonrise Kingdom",2012,"Spring",94,21860627.1777003,94000696.8641115,"Other","PG-13",93,0
"132","Proof of Life",2000,"Fall",135,118411730.545877,114403948.896632,"Thriller","PG-13",39,0
"133","The Last Song",2010,"Winter",107,28766620.8161394,128011462.63182,"Drama","PG",21,0
"134","Judy",2019,"Summer",118,12268283.1443097,56434102.4638248,"Biography","PG-13",80,0
"135","The Eyes of Tammy Faye",2021,"Fall",126,3665621.15621156,4398745.38745387,"Biography","PG-13",68,0
"136","Enchanted",2007,"Fall",107,128627592.860589,515267004.341534,"Fantasy","PG",93,0
"137","The Canyons",2013,"Summer",99,336587982832.618,357685317596.567,"Drama","R",25,0
"138","The Interpreter",2005,"Spring",128,128499743.983615,261657603.686636,"Thriller","PG-13",56,0
"139","The Conjuring",2013,"Summer",112,26927038.6266094,430159442.060086,"Horror","R",86,0
"140","Nacho Libre",2006,"Spring",92,54461805.5555556,154049107.142857,"Comedy","PG",40,0
"141","Four Good Days",2021,"Summer",100,833534276445.264,1000241131734.32,"Drama","R",53,0
"142","Bruce Almighty",2003,"Spring",101,138096195.652174,826190326.086957,"Comedy","PG-13",48,0
"143","Knights of the Zodiac",2023,"Spring",112,61772234.9852314,7206760.74827699,"Fantasy","PG-13",21,0
"144","Dr. Seuss' The Lorax",2012,"Winter",86,95640243.902439,480114024.390244,"Animation","PG",54,0
"145","The Illusionist",2006,"Summer",110,25674851.1904762,136621329.365079,"Other","PG-13",74,0
"146","Drag Me to Hell",2009,"Spring",99,43874125.8741259,132792354.312354,"Horror","PG-13",92,0
"147","The Tigger Movie",2000,"Winter",77,54651567.9442509,175249361.207898,"Animation","G",76,0
"148","Nicholas Nickleby",2002,"Fall",132,17437465.2584769,6451862.14563646,"Drama","PG",78,0
"149","Bulletproof Monk",2003,"Spring",104,88654347.826087,64274402.173913,"Action","PG-13",23,0
"150","Hobo with a Shotgun",2011,"Spring",86,4184526.45620276,1164627639395.29,"Action","R",65,0
"151","Open Water",2004,"Summer",79,830333509793.542,92167019.5870831,"Thriller","R",71,0
"152","American Fiction",2023,"Fall",117,10295372.4975386,23679356.7443387,"Comedy","R",94,0
"153","Silent House",2012,"Winter",87,2732578.39721254,17898388.5017422,"Horror","R",13,0
"154","Marmaduke",2022,"Spring",88,1339682.26853434,1607618.7222412,"Animation","PG",0,1
"155","Surveillance",2009,"Spring",97,1340598.29059829,1608717.94871795,"Other","R",65,0
"156","The Children Act",2018,"Summer",105,18427220.2309837,22112664.2771804,"Drama","PG-13",84,0
"157","Someone Like You",2001,"Winter",97,40740259.7402597,68372783.7380011,"Comedy","PG-13",23,0
"158","Fat Albert",2004,"Fall",93,74730015.8814187,80708417.1519322,"Comedy","PG",23,0
"159","Celeste and Jesse Forever",2012,"Summer",92,1147682926829.27,4918641.11498258,"Comedy","R",81,0
"160","Hellboy II: The Golden Army",2008,"Summer",120,182129586.623316,245219275.429633,"Action","PG-13",86,1
"161","Maid in Manhattan",2002,"Fall",105,95906058.9216231,270106336.853808,"Comedy","PG-13",30,0
"162","Price of Glory",2000,"Winter",118,32790940.7665505,6376016.2601626,"Drama","PG-13",22,0
"163","Woman Walks Ahead",2018,"Spring",102,6246515.33253684,1212518587017.12,"Biography","R",52,0
"164","The Beach Bum",2019,"Winter",95,6134141.57215487,5643410.24638248,"Comedy","R",56,0
"165","Elysium",2013,"Summer",109,154830472.103004,385191287.553648,"Sci-Fi","R",65,0
