index,Movie Name,Year,Season,Run Time,Budget,Box Office,Genre,MPAA Rating,Audience Score,Sequel
41,Transformers: The Last Knight,2017,Spring,149.0,347000000.0,605400000.0,Action,PG-13,15.0,1.0
42,Tolkien,2019,Spring,112.0,20000000.0,9000000.0,Biography,PG-13,52.0,0.0
43,Daddy Day Camp,2007,Summer,89.0,6000000.0,18200000.0,Comedy,PG,1.0,1.0
44,New York Minute,2004,Spring,91.0,30000000.0,21300000.0,Comedy,PG,11.0,0.0
45,Your Lucky Day,2023,Fall,89.0,15193333333.333334,18232000000.0,Thriller,R,64.0,0.0
46,Ella Enchanted,2004,Spring,92.0,31000000.0,27400000.0,Fantasy,PG,50.0,0.0
47,The Book of Henry,2017,Spring,105.0,10000000.0,4600000.0,Drama,PG-13,21.0,0.0
48,Tangled,2010,Fall,100.0,260000000.0,592500000.0,Animation,PG,89.0,0.0
49,Immaculate,2024,Winter,89.0,9000000.0,35000000.0,Horror,R,70.0,0.0
50,Kingdom of the Planet of the Apes,2024,Spring,145.0,200000000.0,397300000.0,Sci-Fi,PG-13,80.0,1.0
51,Meet the Parents,2000,Fall,108.0,55000000.0,330400000.0,Comedy,PG-13,84.0,0.0
52,Dear White People,2014,Fall,108.0,1300000.0,5400000.0,Comedy,R,92.0,0.0
53,Daredevil,2003,Winter,103.0,78000000.0,179200000.0,Action,PG-13,43.0,0.0
54,Holes,2003,Spring,117.0,20000000.0,71400000.0,Adventure,PG,78.0,0.0
55,"Shang-Chi and the Legend of the Ten Rings
",2021,Winter,132.0,250000000.0,432200000.0,Action,PG-13,92.0,0.0
56,Street Fighter: The Legend of Chun-Li,2009,Winter,96.0,50000000.0,12800000.0,Action,PG-13,6.0,1.0
57,The Seagull,2018,Spring,98.0,1250000.0,1500000.0,Drama,PG-13,66.0,0.0
58,Anchorman 2: The Legend Continues,2013,Fall,118.0,50000000.0,173600000.0,Comedy,PG-13,74.0,1.0
59,Gone Baby Gone,2007,Fall,114.0,19000000.0,34600000.0,Mystery,R,94.0,0.0
60,Storks,2016,Summer,87.0,70000000.0,183400000.0,Animation,PG,66.0,0.0
61,Together Together,2021,Summer,90.0,1200000.0,1400000.0,Comedy,R,89.0,0.0
62,Mary Poppins Returns,2018,Fall,131.0,130000000.0,349500000.0,Fantasy,PG,80.0,1.0
63,Birthday Girl,2002,Winter,93.0,13000000.0,16200000.0,Comedy,R,52.0,0.0
