"Movie.Name","Year","Season","Run.Time","Critic.Score","Sequel","Log.Budget","Adjusted.MPAA.Rating","Adjusted.Genre","Log.Box.Office"
"Mrs Henderson Presents",2005,"Fall",103,75,0,17.2851431088323,"R","Comedy",17.6144468559749
"Joshua",2007,"Summer",106,61,0,27.5344211424853,"R","Horror",27.7167426992793
"North Country",2005,"Fall",126,69,0,17.8447588967677,"R","Drama",17.5162548297957
"The Current War",2019,"Fall",107,32,0,17.4211401725259,"PG-13","Biography",16.5771701022314
"I, Robot",2004,"Summer",115,56,0,19.428675372554,"PG-13","Sci-Fi",20.1894812015878
"Max Payne",2008,"Fall",100,16,0,17.74726333028,"PG-13","Action",18.6439342752845
"The Pacifier",2005,"Winter",95,21,0,18.3147625260134,"PG","Comedy",19.5807035868893
"Never Back Down",2008,"Winter",115,22,0,17.1876475423446,"PG-13","Action",17.9200154360578
"Despicable Me 4",2024,"Summer",94,56,1,18.3902215364677,"PG","Animation",20.6948663624247
"Moonrise Kingdom",2012,"Spring",94,93,0,16.9001977309553,"PG-13","Other",18.3588127536548
"Proof of Life",2000,"Fall",135,39,0,18.5896783510629,"PG-13","Thriller",18.5552461546414
"The Last Song",2010,"Winter",107,21,0,17.1747262735073,"PG","Drama",18.6676303696855
"Judy",2019,"Summer",118,80,0,16.3225278838578,"PG-13","Biography",17.8485841873529
"The Eyes of Tammy Faye",2021,"Fall",126,68,0,15.1145083622196,"PG-13","Biography",15.2968299190135
"Enchanted",2007,"Fall",107,93,0,18.6724319102095,"PG","Fantasy",20.0601957793087
"The Canyons",2013,"Summer",99,25,0,26.5421254164396,"R","Drama",26.6029194356722
"The Interpreter",2005,"Spring",128,56,0,18.6714374699522,"PG-13","Thriller",19.3825473508863
"The Conjuring",2013,"Summer",112,86,0,17.1086414931492,"R","Horror",19.8796664934128
"Nacho Libre",2006,"Spring",92,40,0,17.8130101984531,"PG","Comedy",18.8527819870983
"Four Good Days",2021,"Summer",100,53,0,27.4489406618013,"R","Drama",27.6312622185953
"Bruce Almighty",2003,"Spring",101,48,0,18.7434610702244,"PG-13","Comedy",20.5323357239343
"Knights of the Zodiac",2023,"Spring",112,21,0,17.9389645493913,"PG-13","Fantasy",15.7905301362246
"Dr. Seuss' The Lorax",2012,"Winter",86,54,0,18.3761042507649,"PG","Animation",19.9895341844685
"The Illusionist",2006,"Summer",110,74,0,17.0610225178702,"PG-13","Other",18.7327236376048
"Drag Me to Hell",2009,"Spring",99,92,0,17.596835316455,"PG-13","Horror",18.7042972204001
"The Tigger Movie",2000,"Winter",77,76,0,17.8164884628294,"PG","Animation",18.9817204388389
"Nicholas Nickleby",2002,"Fall",132,78,0,16.6741316251985,"PG","Drama",15.6798793518546
"Bulletproof Monk",2003,"Spring",104,23,0,18.3002556341333,"PG-13","Action",17.9786720100059
"Hobo with a Shotgun",2011,"Spring",86,65,0,15.2469041028637,"R","Action",27.7834225290193
"Open Water",2004,"Summer",79,71,0,27.4450932760578,"R","Thriller",18.3391129194058
"American Fiction",2023,"Fall",117,94,0,16.1472050801633,"R","Comedy",16.9801142030984
"Silent House",2012,"Winter",87,13,0,14.8207561892754,"R","Horror",16.7002212389226
"Marmaduke",2022,"Spring",88,0,1,14.1079430307773,"PG","Animation",14.2902645875712
"Surveillance",2009,"Spring",97,65,0,14.1086265578032,"R","Other",14.2909481145972
"The Children Act",2018,"Summer",105,84,0,16.7293394897832,"PG-13","Drama",16.9116610465772
"Someone Like You",2001,"Winter",97,23,0,17.5227273443013,"PG-13","Comedy",18.0404854048429
"Fat Albert",2004,"Fall",93,23,0,18.1293923884238,"PG","Comedy",18.2063534295599
"Celeste and Jesse Forever",2012,"Summer",92,81,0,27.768766179535,"R","Comedy",15.4085428541776
"Hellboy II: The Golden Army",2008,"Summer",120,86,1,19.0202290060929,"PG-13","Action",19.3176633699874
"Maid in Manhattan",2002,"Fall",105,30,0,18.3788797174369,"PG-13","Comedy",19.4143262796272
"Price of Glory",2000,"Winter",118,22,0,17.3056628390634,"PG-13","Drama",15.6680540496626
"Woman Walks Ahead",2018,"Spring",102,52,0,15.6475343194315,"R","Biography",27.8237207891392
"The Beach Bum",2019,"Winter",95,56,0,15.6293807032979,"R","Comedy",15.5459990943588
"Elysium",2013,"Summer",109,65,0,18.8578413479585,"R","Sci-Fi",19.7692506196513
"The Seeker",2007,"Fall",99,15,0,18.0364431434895,"PG","Fantasy",17.6892469435053
"Coming 2 America",2021,"Spring",110,49,1,18.0561734145033,"PG-13","Comedy",18.2384949712973
"Brüno",2009,"Summer",82,69,0,17.9333075530762,"R","Comedy",19.1286719828655
"The Muppets",2011,"Fall",103,95,0,17.954954303966,"PG","Other",19.2946228237458
"Shorts: The Adventures of the Wishing Rock",2009,"Summer",89,44,0,17.1913702083468,"PG","Other",17.5629337647793
"Rugrats Go Wild",2003,"Spring",80,40,1,17.5678877404201,"PG","Animation",18.3635915093052
"Edge of Darkness",2010,"Winter",117,55,0,18.5610206346272,"R","Action",18.5746769610747
"The Amazing Spider-Man",2012,"Summer",136,72,0,19.8801816475411,"PG-13","Action",20.7592154510595
"Wonder Woman 1984",2020,"Fall",151,58,1,19.3062094770822,"PG-13","Action",19.141334833892
"Life",2017,"Winter",104,48,0,18.1227243931733,"R","Sci-Fi",18.672439110126
"Dr. Dolittle 2",2001,"Spring",87,42,1,18.6357283704215,"PG","Comedy",19.5582851438743
"Elektra",2005,"Winter",97,11,0,18.6135434915333,"PG-13","Action",18.3324621031128
"Gone Girl",2014,"Fall",149,87,0,18.2080280208143,"R","Thriller",20.0130866411365
"Panic",2000,"Fall",88,84,0,27.798911700259,"R","Drama",27.981233257053
"Larry the Cable Guy: Health Inspector",2006,"Winter",89,4,0,17.0908754810199,"PG-13","Comedy",17.0049330512192
"2012 ",2009,"Fall",158,39,0,19.4939553013409,"PG-13","Action",20.8691887151013
"Breaking In",2018,"Spring",88,64,0,16.5230030567854,"PG-13","Thriller",17.9777345794585
"The Darjeeling Limited",2007,"Summer",91,70,0,17.0919815346486,"R","Other",17.787981784191
"Definitely, Maybe",2008,"Winter",111,71,0,17.3699690991385,"PG-13","Comedy",18.2100984700471
"Oldboy",2005,"Winter",120,71,0,15.3880231239464,"R","Action",17.1573097373224
"You Will Meet a Tall Dark Stranger",2010,"Summer",100,45,0,17.2700364533116,"R","Comedy",17.7625129384094
"Stolen",2012,"Summer",96,18,0,17.6829570702049,"R","Action",17.0179807666117
"All Fun and Games",2023,"Summer",76,25,0,13.9987706669965,"R","Horror",14.1810922237905
"Empire of Light",2022,"Fall",115,45,0,16.1360912780696,"R","Drama",16.3184128348635
"Rogue One: A Star Wars Story",2016,"Fall",134,84,0,19.9125484418321,"PG-13","Sci-Fi",21.0483890954203
"The Promise",2017,"Spring",134,51,0,18.5620910529571,"PG-13","Drama",16.5799778552378
"Reservation Road",2007,"Fall",98,38,0,14.6352457618273,"R","Drama",14.8175673186213
"Lay the Favorite",2012,"Fall",94,18,0,16.8154565025002,"R","Comedy",14.5330741168237
"Sleeping with Other People",2015,"Summer",101,74,0,15.1944998206939,"R","Comedy",15.2590383418315
"It Chapter Two",2019,"Summer",169,62,1,18.3893906433308,"R","Horror",20.1792495735009
"Terror on the Prairie",2022,"Spring",107,30,0,14.577946660023,"R","Other",23.366311371764
